city,date,price_local,currency,hpi,income,median_multiple,country,rate,monthly_payment,mdsr
London,2021-10,539606.0,GBP,94.5,50667.12328767123,10.650022440316867,UK,1.29,2105.245780403693,0.49860634915879504
London,2021-11,547647.0,GBP,95.9,50709.58904109589,10.799673402128697,UK,1.53,2197.9670247827776,0.5201305077826228
London,2021-12,547837.0,GBP,96.0,50750.68493150685,10.794672047074066,UK,1.57,2209.062995558337,0.5223329691505894
London,2022-01,550635.0,GBP,96.5,50793.150684931505,10.840733299172038,UK,1.64,2238.5936287418167,0.5288729520153811
London,2022-02,551066.0,GBP,96.5,50835.61643835616,10.840155753166265,UK,1.78,2277.1466144840924,0.5375317796518634
London,2022-03,550480.0,GBP,96.4,50873.97260273973,10.820464214551134,UK,2.14,2370.934843662576,0.5592489964587259
London,2022-04,554765.0,GBP,97.2,50916.438356164384,10.895597137399443,UK,2.35,2447.0686098947363,0.5767257936096718
London,2022-05,554380.0,GBP,97.1,50957.53424657534,10.87925481867792,UK,2.63,2523.492386330626,0.5942577301609259
London,2022-06,572418.0,GBP,100.3,51000.0,11.223882352941176,UK,2.87,2675.924996924095,0.6296294110409635
London,2022-07,575261.0,GBP,100.8,51041.09589041096,11.27054562533548,UK,3.48,2873.7254314513702,0.6756262689080517
London,2022-08,581320.0,GBP,101.8,51083.561643835616,11.379786007347615,UK,3.6,2941.4949679553724,0.690984310404362
London,2022-09,579330.0,GBP,101.5,51126.02739726027,11.331410428165691,UK,4.17,3112.557974482616,0.7305612736848968
London,2022-10,573946.0,GBP,100.5,51167.12328767123,11.217085564360676,UK,5.99,3694.4344964236284,0.8664394460449504
London,2022-11,575480.0,GBP,100.8,51209.58904109589,11.237739079260626,UK,5.98,3700.7932986653377,0.8672110129285601
London,2022-12,572384.0,GBP,100.3,51250.68493150685,11.168319033491032,UK,5.43,3491.051116577061,0.8174059225727703
London,2023-01,570869.0,GBP,100.0,51293.150684931505,11.129536641384467,UK,5.14,3383.972886543098,0.7916783058999449
London,2023-02,563875.0,GBP,98.8,51335.61643835616,10.98408939292862,UK,4.79,3227.7357674224795,0.7545020766543273
London,2023-03,555361.0,GBP,97.3,51373.97260273973,10.810162653654375,UK,4.74,3163.0160459446433,0.7388214426172593
