city,date,price_local,currency,hpi,income,median_multiple
New York,2024-11,683541.7674677456,USD,318.581249559054,85768.0,7.9696596337532135
New York,2024-12,686573.9761089517,USD,319.994484073483,85768.0,8.00501324630342
Toronto,2019-01,760000.0,CAD,238.6,,
Toronto,2019-02,753900.0,CAD,236.7,,
Toronto,2019-03,752700.0,CAD,236.3,,
Toronto,2019-04,756200.0,CAD,237.4,,
Toronto,2019-05,759500.0,CAD,238.5,,
Toronto,2019-06,767900.0,CAD,241.1,93000.0,8.256989247311829
Toronto,2019-07,774000.0,CAD,243.0,93163.9344262295,8.307935949322541
Toronto,2019-08,779600.0,CAD,244.8,93333.33333333333,8.352857142857143
Toronto,2019-09,785000.0,CAD,246.5,93502.73224043715,8.395476594003858
Toronto,2019-10,793300.0,CAD,249.1,93666.66666666667,8.469395017793595
Toronto,2019-11,798300.0,CAD,250.6,93836.0655737705,8.507389937106918
Toronto,2019-12,801500.0,CAD,251.6,94000.0,8.52659574468085
Toronto,2020-01,804900.0,CAD,252.7,94169.39890710382,8.54736261823246
Toronto,2020-02,813700.0,CAD,255.5,94338.79781420765,8.625295412418907
Toronto,2020-03,817900.0,CAD,256.8,94497.26775956285,8.655276701555541
Toronto,2020-04,806400.0,CAD,253.2,94666.66666666667,8.518309859154929
Toronto,2020-05,811700.0,CAD,254.9,94830.60109289618,8.559473320271984
Toronto,2020-06,831200.0,CAD,261.0,95000.0,8.749473684210527
Toronto,2020-07,850600.0,CAD,267.1,95139.72602739726,8.94053446984968
Toronto,2020-08,870400.0,CAD,273.3,95284.1095890411,9.13478652163537
Toronto,2020-09,877900.0,CAD,275.6,95428.49315068492,9.19955844439213
Toronto,2020-10,886300.0,CAD,278.3,95568.21917808219,9.274003508932871
Toronto,2020-11,900700.0,CAD,282.8,95712.60273972603,9.410463974627238
Toronto,2020-12,912800.0,CAD,286.6,95852.32876712328,9.522981984273756
Toronto,2021-01,929600.0,CAD,291.9,95996.71232876713,9.683664965695172
Toronto,2021-02,950500.0,CAD,298.4,96141.09589041096,9.886510978442073
Toronto,2021-03,966800.0,CAD,303.5,96271.50684931508,10.042431365629739
Toronto,2021-04,981600.0,CAD,308.2,96415.8904109589,10.180894412903006
Toronto,2021-05,1005100.0,CAD,315.6,96555.61643835617,10.409544644579885
Toronto,2021-06,1018300.0,CAD,319.7,96700.0,10.530506721820062
Toronto,2021-07,1037200.0,CAD,325.7,96469.86301369863,10.751544239808018
Toronto,2021-08,1053600.0,CAD,330.8,96232.05479452055,10.948534791756229
Toronto,2021-09,1083800.0,CAD,340.3,95994.24657534246,11.290259975626393
Toronto,2021-10,1114600.0,CAD,350.0,95764.1095890411,11.639015961022947
Toronto,2021-11,1144100.0,CAD,359.2,95526.30136986301,11.976806215601528
Toronto,2021-12,1165900.0,CAD,366.1,95296.16438356164,12.234490312824331
Toronto,2022-01,1220000.0,CAD,383.0,95058.35616438356,12.834221516415296
Toronto,2022-02,1259200.0,CAD,395.4,94820.54794520549,13.279822014186855
Toronto,2022-03,1238500.0,CAD,388.9,94605.75342465754,13.09116998879271
Toronto,2022-04,1206700.0,CAD,378.9,94367.94520547945,12.787181043017277
Toronto,2022-05,1169700.0,CAD,367.3,94137.80821917808,12.425400825953208
Toronto,2022-06,1137500.0,CAD,357.1,93900.0,12.11395101171459
Toronto,2022-07,1106400.0,CAD,347.4,93957.53424657535,11.775532519791803
Toronto,2022-08,1090200.0,CAD,342.3,94016.98630136986,11.595776921687133
Toronto,2022-09,1080800.0,CAD,339.3,94076.43835616438,11.488530166375929
Toronto,2022-10,1071400.0,CAD,336.4,94133.97260273973,11.381650751333716
Toronto,2022-11,1064200.0,CAD,334.1,94193.42465753424,11.298028539350682
Toronto,2022-12,1051600.0,CAD,330.2,94250.95890410959,11.157446165294637
Toronto,2023-01,1035800.0,CAD,325.2,94310.4109589041,10.98288078133125
Toronto,2023-02,1032000.0,CAD,324.0,94369.86301369863,10.9356945855712
Toronto,2023-03,1041000.0,CAD,326.8,94423.56164383562,11.024790654758796
Toronto,2023-04,1066800.0,CAD,334.9,94483.01369863014,11.290918422677992
Toronto,2023-05,1091300.0,CAD,342.6,94540.54794520549,11.543195207970486
Toronto,2023-06,1105600.0,CAD,347.1,94600.0,11.687103594080337
Toronto,2023-07,1111700.0,CAD,349.0,94575.40983606558,11.754641105198385
Toronto,2023-08,1105300.0,CAD,347.0,94550.0,11.690111052353252
Toronto,2023-09,1094300.0,CAD,343.6,94524.59016393442,11.576881720430109
Toronto,2023-10,1076300.0,CAD,337.9,94500.0,11.38941798941799
Toronto,2023-11,1054900.0,CAD,331.2,94474.59016393442,11.16596534760843
Toronto,2023-12,1045100.0,CAD,328.1,94450.0,11.065113816834304
Toronto,2024-01,1035500.0,CAD,325.1,94424.59016393442,10.966423028177573
Toronto,2024-02,1042400.0,CAD,327.3,94399.18032786885,11.04246876275322
Toronto,2024-03,1046000.0,CAD,328.4,94375.40983606558,11.083395577480935
Toronto,2024-04,1042600.0,CAD,327.3,94350.0,11.050344462109168
Toronto,2024-05,1035800.0,CAD,325.2,94325.40983606558,10.981134370899484
Toronto,2024-06,1039300.0,CAD,326.3,94300.0,11.02120890774125
Toronto,2024-07,1037300.0,CAD,325.7,94300.0,11.0
Toronto,2024-08,1033200.0,CAD,324.4,94300.0,10.956521739130435
Toronto,2024-09,1028600.0,CAD,323.0,94300.0,10.907741251325557
Toronto,2024-10,1025200.0,CAD,321.9,94300.0,10.871686108165429
Toronto,2024-11,1028100.0,CAD,322.8,94300.0,10.902439024390244
Toronto,2024-12,1024500.0,CAD,321.7,94300.0,10.864262990455991
Vancouver,2019-01,924200.0,CAD,260.6,,
Vancouver,2019-02,905900.0,CAD,255.4,,
Vancouver,2019-03,892200.0,CAD,251.5,,
Vancouver,2019-04,882800.0,CAD,248.9,,
Vancouver,2019-05,873200.0,CAD,246.2,,
Vancouver,2019-06,871600.0,CAD,245.7,92000.0,9.47391304347826
Vancouver,2019-07,871300.0,CAD,245.6,92024.59016393442,9.468121492829786
Vancouver,2019-08,878000.0,CAD,247.5,92050.0,9.538294405214558
Vancouver,2019-09,886500.0,CAD,249.9,92075.40983606558,9.627977780151692
